Date,Type,Action,Symbol,Instrument_Type,Description,Value,Quantity,Average_Price,Commissions,Fees,Multiplier,Underlying_Symbol,Expiration_Date,Strike_Price,Call_or_Put,Order_nr
2021-02-05T14:07:00-0500,Trade,BUY_TO_CLOSE,SPX   211217C03900000,Equity Option,Bought 5 SPX 12/17/21 Call 3900.00 @ 283.80,"-141,900.00",5,"-28,380.00",0.0,-3.93,100,SPX,12/17/21,3900.0,CALL,129083315
2021-01-29T15:03:58-0500,Trade,BUY_TO_CLOSE,SPX   211217C03900000,Equity Option,Bought 2 SPX 12/17/21 Call 3900.00 @ 219.83,"-43,966.00",2,"-21,983.00",0.0,-1.57,100,SPX,12/17/21,3900.0,CALL,127275256
2021-01-27T12:35:18-0500,Trade,BUY_TO_CLOSE,SPX   211217C03900000,Equity Option,Bought 3 SPX 12/17/21 Call 3900.00 @ 245.36,"-73,608.00",3,"-24,536.00",0.0,-2.36,100,SPX,12/17/21,3900.0,CALL,126371218
2021-01-27T12:12:53-0500,Trade,BUY_TO_CLOSE,SPX   211217C04000000,Equity Option,Bought 2 SPX 12/17/21 Call 4000.00 @ 191.82,"-38,364.00",2,"-19,182.00",0.0,-1.57,100,SPX,12/17/21,4000.0,CALL,126353951
2021-01-27T12:12:53-0500,Trade,BUY_TO_CLOSE,SPX   211217C04000000,Equity Option,Bought 1 SPX 12/17/21 Call 4000.00 @ 191.81,"-19,181.00",1,"-19,181.00",0.0,-0.79,100,SPX,12/17/21,4000.0,CALL,126353951
2021-01-12T15:56:15-0500,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 14 SPX 12/16/22 Call 6000.00 @ 10.70,"-14,980.00",14,"-1,070.00",0.0,-11.0,100,SPX,12/16/22,6000.0,CALL,123259989
2021-01-12T15:55:36-0500,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 1 SPX 12/16/22 Call 6000.00 @ 10.50,"-1,050.00",1,"-1,050.00",0.0,-0.79,100,SPX,12/16/22,6000.0,CALL,123259333
2021-01-12T15:54:06-0500,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 30 SPX 12/16/22 Call 6000.00 @ 10.22,"-30,660.00",30,"-1,022.00",0.0,-23.57,100,SPX,12/16/22,6000.0,CALL,123256987
2021-01-12T15:49:18-0500,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 20 SPX 12/16/22 Call 6000.00 @ 10.17,"-20,340.00",20,"-1,017.00",0.0,-15.71,100,SPX,12/16/22,6000.0,CALL,123253876
2021-01-12T15:49:18-0500,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 10 SPX 12/16/22 Call 6000.00 @ 10.16,"-10,160.00",10,"-1,016.00",0.0,-7.86,100,SPX,12/16/22,6000.0,CALL,123253876
2021-01-12T15:48:01-0500,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 15 SPX 12/16/22 Call 6000.00 @ 10.08,"-15,120.00",15,"-1,008.00",0.0,-11.79,100,SPX,12/16/22,6000.0,CALL,123252765
2021-01-12T15:47:12-0500,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 9 SPX 12/16/22 Call 6000.00 @ 10.09,"-9,081.00",9,"-1,009.00",0.0,-7.07,100,SPX,12/16/22,6000.0,CALL,123252135
2021-01-08T14:28:12-0500,Trade,SELL_TO_OPEN,SPX   211217C04000000,Equity Option,Sold 2 SPX 12/17/21 Call 4000.00 @ 172.73,"34,546.00",2,"17,273.00",-2.0,-1.574,100,SPX,12/17/21,4000.0,CALL,122590664
2021-01-08T14:28:12-0500,Trade,SELL_TO_OPEN,SPX   211217C04000000,Equity Option,Sold 1 SPX 12/17/21 Call 4000.00 @ 172.74,"17,274.00",1,"17,274.00",-1.0,-0.792,100,SPX,12/17/21,4000.0,CALL,122590664
2021-01-07T12:00:00-0500,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 2 SPX 12/16/22 Call 6000.00 @ 9.46,"-1,892.00",2,-946.00,0.0,-1.57,100,SPX,12/16/22,6000.0,CALL,122243889
2021-01-06T15:54:42-0500,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 15 SPX 12/16/22 Call 6000.00 @ 8.87,"-13,305.00",15,-887.00,0.0,-11.79,100,SPX,12/16/22,6000.0,CALL,122070596
2021-01-06T15:48:57-0500,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 60 SPX 12/16/22 Call 6000.00 @ 8.76,"-52,560.00",60,-876.00,0.0,-47.14,100,SPX,12/16/22,6000.0,CALL,122067050
2021-01-06T11:36:42-0500,Trade,SELL_TO_OPEN,SPX   211217C03900000,Equity Option,Sold 20 SPX 12/17/21 Call 3900.00 @ 200.21,"400,420.00",20,"20,021.00",-20.0,-15.75,100,SPX,12/17/21,3900.0,CALL,121925101
2021-01-06T10:58:42-0500,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 9 SPX 12/16/22 Call 6000.00 @ 8.96,"-8,064.00",9,-896.00,0.0,-7.07,100,SPX,12/16/22,6000.0,CALL,121896537
2021-01-05T14:24:29-0500,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 3 SPX 12/16/22 Call 6000.00 @ 8.90,"-2,670.00",3,-890.00,0.0,-2.36,100,SPX,12/16/22,6000.0,CALL,121712103
2020-12-31T15:48:04-0500,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 3 SPX 12/16/22 Call 6000.00 @ 9.20,"-2,760.00",3,-920.00,0.0,-2.36,100,SPX,12/16/22,6000.0,CALL,121218605
2020-12-29T14:41:08-0500,Trade,SELL_TO_CLOSE,SPX   211217C04000000,Equity Option,Sold 15 SPX 12/17/21 Call 4000.00 @ 139.89,"209,835.00",15,"13,989.00",0.0,-11.82,100,SPX,12/17/21,4000.0,CALL,120744695
2020-12-29T14:35:52-0500,Trade,SELL_TO_CLOSE,SPX   211217C04000000,Equity Option,Sold 5 SPX 12/17/21 Call 4000.00 @ 140.12,"70,060.00",5,"14,012.00",0.0,-3.94,100,SPX,12/17/21,4000.0,CALL,120742830
2020-12-29T14:31:15-0500,Trade,SELL_TO_CLOSE,SPX   211217C04000000,Equity Option,Sold 15 SPX 12/17/21 Call 4000.00 @ 140.37,"210,555.00",15,"14,037.00",0.0,-11.82,100,SPX,12/17/21,4000.0,CALL,120741327
2020-12-29T14:27:52-0500,Trade,SELL_TO_CLOSE,SPX   211217C04000000,Equity Option,Sold 5 SPX 12/17/21 Call 4000.00 @ 140.65,"70,325.00",5,"14,065.00",0.0,-3.94,100,SPX,12/17/21,4000.0,CALL,120740235
2020-12-29T14:21:17-0500,Trade,SELL_TO_CLOSE,SPX   211217C04000000,Equity Option,Sold 15 SPX 12/17/21 Call 4000.00 @ 140.64,"210,960.00",15,"14,064.00",0.0,-11.82,100,SPX,12/17/21,4000.0,CALL,120738021
2020-12-29T14:18:21-0500,Trade,SELL_TO_CLOSE,SPX   211217C04000000,Equity Option,Sold 5 SPX 12/17/21 Call 4000.00 @ 139.48,"69,740.00",5,"13,948.00",0.0,-3.94,100,SPX,12/17/21,4000.0,CALL,120736865
2020-12-29T14:03:48-0500,Trade,SELL_TO_CLOSE,SPX   211217C04000000,Equity Option,Sold 3 SPX 12/17/21 Call 4000.00 @ 140.68,"42,204.00",3,"14,068.00",0.0,-2.366,100,SPX,12/17/21,4000.0,CALL,120732204
2020-12-29T14:03:48-0500,Trade,SELL_TO_CLOSE,SPX   211217C04000000,Equity Option,Sold 12 SPX 12/17/21 Call 4000.00 @ 140.68,"168,816.00",12,"14,068.00",0.0,-9.454,100,SPX,12/17/21,4000.0,CALL,120732204
2020-12-29T13:59:24-0500,Trade,SELL_TO_CLOSE,SPX   211217C04000000,Equity Option,Sold 15 SPX 12/17/21 Call 4000.00 @ 141.22,"211,830.00",15,"14,122.00",0.0,-11.82,100,SPX,12/17/21,4000.0,CALL,120730519
2020-12-29T13:50:18-0500,Trade,SELL_TO_CLOSE,SPX   211217C04000000,Equity Option,Sold 10 SPX 12/17/21 Call 4000.00 @ 139.88,"139,880.00",10,"13,988.00",0.0,-7.88,100,SPX,12/17/21,4000.0,CALL,120726794
2020-12-29T12:35:25-0500,Trade,SELL_TO_CLOSE,SPX   211217C04000000,Equity Option,Sold 3 SPX 12/17/21 Call 4000.00 @ 139.61,"41,883.00",3,"13,961.00",0.0,-2.366,100,SPX,12/17/21,4000.0,CALL,120696176
2020-12-28T15:59:34-0500,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 3 SPX 12/16/22 Call 6000.00 @ 9.27,"-2,781.00",3,-927.00,0.0,-2.36,100,SPX,12/16/22,6000.0,CALL,120537041
2020-12-28T15:56:30-0500,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 6 SPX 12/16/22 Call 6000.00 @ 9.27,"-5,562.00",6,-927.00,0.0,-4.71,100,SPX,12/16/22,6000.0,CALL,120534331
2020-12-28T15:46:56-0500,Trade,SELL_TO_CLOSE,SPX   211217C04000000,Equity Option,Sold 3 SPX 12/17/21 Call 4000.00 @ 137.80,"41,340.00",3,"13,780.00",0.0,-2.366,100,SPX,12/17/21,4000.0,CALL,120527409
2020-12-24T11:02:42-0500,Trade,SELL_TO_OPEN,SPX   221216C06000000,Equity Option,Sold 100 SPX 12/16/22 Call 6000.00 @ 9.00,"90,000.00",100,900.00,-100.0,-78.77,100,SPX,12/16/22,6000.0,CALL,120188416
2020-12-24T11:02:42-0500,Trade,SELL_TO_OPEN,SPX   221216C06000000,Equity Option,Sold 100 SPX 12/16/22 Call 6000.00 @ 9.00,"90,000.00",100,900.00,-100.0,-78.77,100,SPX,12/16/22,6000.0,CALL,120188416
